ratio,amount
0.06918238993710692,1
0.06923076923076923,1
0.06930693069306931,7
0.06944444444444445,40
0.06956521739130435,12
0.06976744186046512,147
0.06993006993006994,2
0.07,15
0.07017543859649122,75
0.0703125,11
0.07042253521126761,50
0.07058823529411765,33
0.0707070707070707,14
0.07079646017699115,4
0.07086614173228346,2
0.07092198581560284,2
0.07100591715976332,1
0.07142857142857142,870
0.07194244604316546,6
0.072,2
0.07207207207207207,12
0.07216494845360824,13
0.07228915662650602,34
0.07246376811594203,47
0.07258064516129033,3
0.07272727272727272,91
0.07291666666666667,12
0.072992700729927,3
0.07317073170731707,172
0.07333333333333333,3
0.07339449541284404,11
0.07352941176470588,56
0.07368421052631578,25
0.07377049180327869,3
0.0738255033557047,2
0.07407407407407407,372
0.07432432432432433,2
0.0743801652892562,2
0.07446808510638298,14
0.07462686567164178,50
0.07476635514018691,9
0.075,158
0.07518796992481203,3
0.07526881720430108,23
0.07534246575342465,1
0.07547169811320754,99
0.07563025210084033,8
0.07575757575757576,44
0.07586206896551724,2
0.0759493670886076,30
0.07608695652173914,19
0.0761904761904762,15
0.07627118644067797,4
0.07633587786259542,6
0.07692307692307693,881
0.07738095238095238,1
0.07746478873239436,1
0.07751937984496124,7
0.07758620689655173,3
0.07766990291262135,17
0.07777777777777778,16
0.07792207792207792,36
0.07801418439716312,1
0.078125,49
0.0782608695652174,5
0.0784313725490196,97
0.07857142857142857,2
0.07865168539325842,29
0.07874015748031496,4
0.07894736842105263,176
0.07913669064748201,3
0.07920792079207921,15
0.07926829268292683,1
0.07936507936507936,73
0.07954545454545454,28
0.07964601769911504,13
0.07971014492753623,2
0.08,398
0.08024691358024691,1
0.08029197080291971,2
0.08035714285714286,14
0.08045977011494253,26
0.08064516129032258,65
0.08074534161490683,1
0.08080808080808081,17
0.08088235294117647,2
0.08108108108108109,206
0.08121827411167512,1
0.08125,1
0.08130081300813008,5
0.08139534883720931,27
0.08148148148148149,3
0.08163265306122448,110
0.08181818181818182,10
0.08196721311475409,61
0.08208955223880597,5
0.0821917808219178,41
0.08227848101265822,1
0.08235294117647059,33
0.08247422680412371,20
0.08256880733944955,17
0.08264462809917356,4
0.08270676691729323,4
0.08275862068965517,4
0.08284023668639054,1
0.08333333333333333,1007
0.08396946564885496,4
0.08403361344537816,8
0.08411214953271028,9
0.08421052631578947,17
0.08433734939759036,28
0.08441558441558442,1
0.08450704225352113,48
0.08461538461538462,2
0.0847457627118644,64
0.08490566037735849,9
0.0851063829787234,130
0.08527131782945736,3
0.08536585365853659,20
0.08547008547008547,5
0.08552631578947369,1
0.08571428571428572,202
0.0859375,4
0.08602150537634409,24
0.08609271523178808,3
0.08620689655172414,69
0.08641975308641975,39
0.08653846153846154,13
0.08661417322834646,3
0.08666666666666667,3
0.08695652173913043,438
0.0872093023255814,1
0.087248322147651,3
0.0873015873015873,10
0.08737864077669903,8
0.0875,35
0.08759124087591241,5
0.08771929824561403,93
0.08791208791208792,25
0.088,7
0.08823529411764706,229
0.08843537414965986,2
0.08849557522123894,8
0.08860759493670886,31
0.08870967741935484,3
0.08888888888888889,132
0.0891089108910891,19
0.08928571428571429,84
0.08943089430894309,3
0.08955223880597014,49
0.0896551724137931,3
0.08974358974358974,24
0.08982035928143713,1
0.0898876404494382,18
0.09,21
0.09009009009009009,5
0.09016393442622951,8
0.09022556390977443,1
0.09027777777777778,3
0.09090909090909091,1067
0.0915032679738562,2
0.09154929577464789,2
0.0916030534351145,5
0.09166666666666666,4
0.09174311926605505,16
0.09183673469387756,18
0.09195402298850575,25
0.09202453987730061,2
0.09210526315789473,47
0.09219858156028368,2
0.09230769230769231,65
0.09243697478991597,7
0.09259259259259259,97
0.09271523178807947,3
0.09278350515463918,19
0.09285714285714286,2
0.09302325581395349,151
0.09316770186335403,1
0.09322033898305085,14
0.09333333333333334,33
0.09345794392523364,10
0.09352517985611511,7
0.09375,266
0.09395973154362416,2
0.09401709401709402,15
0.09411764705882353,36
0.09420289855072464,6
0.09433962264150944,87
0.09448818897637795,2
0.0945945945945946,54
0.09467455621301775,2
0.09473684210526316,22
0.09482758620689655,16
0.0948905109489051,3
0.0949367088607595,2
0.09523809523809523,463
0.09554140127388536,1
0.09558823529411764,1
0.09565217391304348,13
0.09574468085106383,15
0.0958904109589041,45
0.096,7
0.09615384615384616,101
0.0962962962962963,2
0.0963855421686747,36
0.09649122807017543,15
0.09655172413793103,1
0.0967741935483871,252
0.09701492537313433,7
0.0970873786407767,16
0.09722222222222222,51
0.09734513274336283,13
0.0975609756097561,175
0.09774436090225563,4
0.09782608695652174,17
0.0979020979020979,5
0.09803921568627451,95
0.09815950920245399,1
0.09821428571428571,13
0.09836065573770492,71
0.09848484848484848,2
0.09859154929577464,58
0.09868421052631579,1
0.09876543209876543,31
0.0989010989010989,31
0.09900990099009901,12
0.0990990990990991,9
0.09917355371900827,6
0.09923664122137404,3
0.09929078014184398,5
0.09933774834437085,3
0.09941520467836257,1
0.1,1071
0.1005586592178771,1
0.10059171597633136,1
0.10062893081761007,3
0.10067114093959731,2
0.10071942446043165,3
0.10077519379844961,9
0.10084033613445378,3
0.10091743119266056,8
0.10101010101010101,13
0.10112359550561797,20
0.10126582278481013,44
0.10135135135135136,1
0.10144927536231885,65
0.1015625,5
0.1016949152542373,62
0.10185185185185185,10
0.10191082802547771,3
0.10204081632653061,108
0.10218978102189781,3
0.10227272727272728,31
0.10236220472440945,5
0.10256410256410256,165
0.10273972602739725,5
0.102803738317757,9
0.10294117647058823,60
0.10309278350515463,33
0.10317460317460317,9
0.1032258064516129,2
0.10326086956521739,2
0.10344827586206896,305
0.1037037037037037,4
0.10377358490566038,12
0.1038961038961039,46
0.104,7
0.10416666666666667,122
0.10434782608695652,14
0.1044776119402985,55
0.10457516339869281,2
0.10465116279069768,34
0.10476190476190476,15
0.10483870967741936,7
0.1048951048951049,5
0.105,1
0.10526315789473684,521
0.10555555555555556,1
0.1056338028169014,4
0.10569105691056911,8
0.10576923076923077,13
0.10588235294117647,28
0.10596026490066225,2
0.10606060606060606,52
0.10619469026548672,14
0.10638297872340426,103
0.10650887573964497,1
0.10655737704918032,5
0.10666666666666667,31
0.10674157303370786,2
0.10679611650485436,21
0.10687022900763359,3
0.10714285714285714,305
0.10738255033557047,3
0.10743801652892562,8
0.10752688172043011,21
0.10759493670886076,3
0.1076923076923077,70
0.10784313725490197,23
0.1079136690647482,7
0.10795454545454546,1
0.10810810810810811,197
0.10828025477707007,1
0.10833333333333334,8
0.10843373493975904,24
0.10852713178294573,4
