_id,credit ship amount
1000096719,69
1000097101,84
1000097315,92
1000097380,101
1000097382,25
1000097524,68
1000097777,67
1000097858,77
1000097929,41
1000098061,75
1000098068,72
1000098085,82
1000098152,90
1000098209,117
1000098294,85
1000098362,15
1000098421,38
1000098469,47
1000098470,36
1000098533,84
1000098702,138
1000098771,56
1000098796,76
1000098840,110
1000098927,69
1000099309,100
1000099356,21
1000099502,142
1000099540,64
1000099640,73
1000099681,72
1000099760,46
1000099831,79
1000099856,47
1000099864,131
1000100001,31
1000100024,59
1000100095,73
1000100149,84
1000100184,102
1000100186,40
1000100187,112
1000100245,95
1000100252,107
1000100281,127
1000100336,46
1000100346,63
1000100347,55
1000100351,75
1000100405,52
1000100477,73
1000100485,20
1000100493,83
1000100526,23
1000100550,127
1000100570,34
1000100596,48
1000100619,89
1000100664,60
1000100741,25
1000100784,38
1000100790,57
1000100808,66
1000100826,51
1000100850,61
1000100868,113
1000100871,21
1000100893,126
1000100931,108
1000101006,22
1000101053,33
1000101172,181
1000101276,38
1000101578,112
1000101588,102
1000101839,96
1000102034,59
1000102063,76
1000102073,105
1000102148,85
1000102244,83
1000102301,120
1000102562,13
1000102622,87
1000102664,30
1000102670,101
1000102977,46
1000103040,61
1000103055,49
1000103111,31
1000103266,46
1000103523,59
1000103648,49
1000103664,80
1000103763,26
1000103915,119
1000103934,95
1000104066,76
1000104071,87
1000104228,28
1000104267,97
1000104284,164
1000104304,34
1000104385,38
1000104391,50
1000104400,103
1000104479,61
1000104517,29
1000104551,43
1000104874,97
1000104888,29
1000104901,94
1000104949,63
1000105051,192
1000105054,90
1000105144,138
1000105301,59
1000105420,80
1000105519,109
1000105595,41
1000105597,72
1000105635,23
1000105652,45
1000105672,88
1000105690,83
1000105704,49
1000106031,127
1000106045,124
1000106305,63
1000106337,20
1000106562,162
1000106575,41
1000106651,117
1000106666,55
1000106677,19
1000106702,62
1000106813,154
1000106900,63
1000107677,26
1000107694,96
1000107695,86
1000107769,36
1000108159,21
1000108489,90
1000108519,91
1000108541,39
1000108563,60
1000108592,55
1000108635,52
1000108757,30
1000108841,65
1000108862,138
1000108866,132
1000108952,48
1000108988,13
1000109124,59
1000109217,40
1000109248,61
1000109361,158
1000109451,101
1000109606,126
1000110166,79
1000110229,14
1000110292,76
1000110392,90
1000110496,70
1000110507,122
1000110642,41
1000110731,67
1000110768,101
1000110939,77
1000111043,20
1000111160,114
1000111460,69
1000111464,41
1000111575,48
1000111591,64
1000111611,69
1000111718,86
1000112170,105
1000112438,90
1000112450,32
1000112477,75
1000112620,49
1000113028,108
1000113064,124
1000113111,93
1000113510,28
1000113552,72
1000113563,23
1000113566,127
1000113614,50
1000113617,31
1000113946,9
1000113974,88
1000114066,65
1000114165,102
1000114250,22
1000114566,29
1000114575,151
1000114733,55
1000114917,26
1000115183,3
1000115477,42
1000115560,36
1000115573,29
1000115699,56
1000115768,78
1000115837,103
1000115861,88
1000115896,67
1000115902,14
1000116057,14
1000116503,45
1000116560,31
1000116599,50
1000116619,19
1000116674,59
1000116675,89
1000116713,23
1000116835,53
1000116993,142
1000117192,24
1000117200,21
1000117287,114
1000117297,118
1000117360,161
1000117636,108
1000117942,13
1000118051,30
1000118098,17
1000118175,120
1000118193,132
1000118198,52
1000118322,54
1000118417,13
1000118433,12
1000118447,54
1000118558,34
1000118682,27
1000118742,81
1000119042,77
1000119069,29
1000119085,74
1000119103,38
1000119105,75
1000119131,182
1000119160,145
1000119204,143
1000119221,16
1000119248,64
1000119269,45
1000119276,71
1000119288,15
1000119297,29
1000119300,61
1000119315,26
1000119319,32
1000119335,94
1000119381,37
1000119413,150
1000119480,48
1000119541,27
1000119578,116
1000119580,54
1000119686,33
1000119762,45
1000120035,86
1000120240,36
1000120252,99
1000120275,106
1000120430,11
1000120459,66
1000120503,71
1000120544,26
1000120665,53
