_id,overall_stats.avg_battle_values.avg_kd
1000049542,0.41
1000049545,1.57
1000049548,1.93
1000050008,1.11
1000050158,2.16
1000050468,1.04
1000050549,1.02
1000050605,0.84
1000050820,0.6
1000050909,0.84
1000050916,1.12
1000050923,2.88
1000050942,0.81
1000050992,1.39
1000051005,0.6
1000051059,1.9
1000051082,1.08
1000051095,1.19
1000051488,1.21
1000051495,0.61
1000051618,1.66
1000051720,1.23
1000051728,1.13
1000051757,1.51
1000051809,2.1
1000052236,0.92
1000052240,1.72
1000052311,1.83
1000052426,0.83
1000052456,1.19
1000052463,1.77
1000052481,0.97
1000052502,1.73
1000052683,1.62
1000052959,0.26
1000053447,0.93
1000053463,0.97
1000053468,0.87
1000053478,1.56
1000053557,2.24
1000053561,2.24
1000053598,1.63
1000053618,1.36
1000053620,1.61
1000053640,1.09
1000053651,1.02
1000053672,1.31
1000053678,1.12
1000053682,0.81
1000053823,1.02
1000054106,1.16
1000054405,0.98
1000054446,0.99
1000054466,1.9
1000054510,1.3
1000054532,3.45
1000054593,1.91
1000054701,1.46
1000054710,0.65
1000054713,1.69
1000054723,0.9
1000054728,1.55
1000054737,0.79
1000054751,1.42
1000054755,2.55
1000054812,1.43
1000054842,1.66
1000054848,1.53
1000055112,1.86
1000055175,1.31
1000055333,0.83
1000055403,0.93
1000055577,1.03
1000055594,1.41
1000055654,1.34
1000055656,1.39
1000055699,1.09
1000055842,1.7
1000055896,0.98
1000055898,1.36
1000055928,0.66
1000055933,1.05
1000055944,2.33
1000055947,0.96
1000056044,0.89
1000056101,1.01
1000056200,2.22
1000056437,2.27
1000056493,1.17
1000056577,1.32
1000056693,1.34
1000056710,1.19
1000056778,1.8
1000056862,0.93
1000057139,1.75
1000057183,1.54
1000057185,1.27
1000057199,1.32
1000057435,2.06
1000057502,0.35
1000057594,0.86
1000057938,1.56
1000058036,0.97
1000058120,0.97
1000058163,2.26
1000058175,0.81
1000058341,0.71
1000058420,1.12
1000058477,0.75
1000058916,0.82
1000059232,1.38
1000059480,1.24
1000059669,1.96
1000059693,2.28
1000059710,1.84
1000059783,1.93
1000059798,1.55
1000059883,1.62
1000059892,1.68
1000059904,2.49
1000059958,0.83
1000059978,1.2
1000059987,1.9
1000060262,1.92
1000060314,1.84
1000060382,3.42
1000060426,0.86
1000060441,0.93
1000060449,1.48
1000060464,0.68
1000060539,1.38
1000060572,1.3
1000060592,1.53
1000060606,1.71
1000060676,1.75
1000060915,0.95
1000061119,0.88
1000061142,1.34
1000061159,1.11
1000061168,0.82
1000061347,1.99
1000061355,1.33
1000061432,1.04
1000061441,1.24
1000061474,0.66
1000061485,1.32
1000061497,1.23
1000061499,0.96
1000061505,0.92
1000061538,3.88
1000061941,1.01
1000061997,1.01
1000062074,1.35
1000062198,0.89
1000062200,1.85
1000062334,1.54
1000062410,2.28
1000062513,1.18
1000062548,0.87
1000062558,1.28
1000062630,2.12
1000063078,1.06
1000063154,2.42
1000063251,0.53
1000063389,1.51
1000063451,0.7
1000063467,1.98
1000063488,0.67
1000063637,1.11
1000063653,1.47
1000063882,0.9
1000064032,0.76
1000064061,0.95
1000064132,1.8
1000064383,1.72
1000064443,2.73
1000064446,1.72
1000064482,1.17
1000064522,1.56
1000064540,1.26
1000064555,1.03
1000064563,1.28
1000064591,1.59
1000064638,1.45
1000064655,1.18
1000064726,0.75
1000065234,1.06
1000065551,0.99
1000065640,2.27
1000065733,0.77
1000065782,1
1000065830,1.19
1000065834,1.5
1000065940,0.63
1000066130,1.54
1000066285,1.83
1000066337,1.51
1000066422,1.7
1000066699,1.38
1000066702,0.43
1000066777,1.26
1000066800,1.2
1000066828,1.54
1000066829,0.91
1000066850,0.84
1000066863,0.88
1000067188,0.88
1000067287,0.87
1000067377,1.43
1000067478,0.73
1000067508,0.54
1000067568,2.27
1000067601,1.57
1000067611,1.27
1000067620,1.35
1000067782,0.74
1000067830,1.04
1000067860,1.67
1000067969,1.55
1000068014,0.86
1000068183,1.48
1000068225,1.23
1000068247,1.92
1000068290,2.29
1000068464,2.17
1000068633,1.35
1000068699,1.13
1000068702,0.1
1000068761,1.39
1000068785,1.55
1000068788,1.14
1000068792,1.45
1000068929,1.3
1000069053,1.39
1000069067,0.78
1000069312,0.89
1000069401,0.8
1000069450,1.42
1000069517,1.09
1000069553,1.06
1000069856,1.57
1000069965,0.94
1000069971,1.2
1000070001,1.29
1000070017,0.82
1000070022,1.22
1000070046,1.1
1000070083,0.73
1000070236,0.81
1000070670,1.31
1000070699,1.09
1000070749,0.89
1000070792,0.86
1000070899,1.11
1000071005,1.23
1000071019,1.12
1000071189,1.3
1000071311,1.18
1000071316,2.56
1000071354,1.42
1000071395,1.61
1000071410,1.07
1000071610,1.47
1000071629,0.83
1000071738,2.13
1000071747,0.87
1000071750,0.98
1000071768,2.93
1000071772,5.56
1000072000,0.98
1000072030,2.05
1000072266,1.1
1000072462,1.84
1000072469,1.77
1000072490,1.24
1000072818,0.85
1000072884,1.76
1000072983,1.07
1000073153,1.21
1000073157,0.86
1000073352,0.68
1000073480,1.48
1000073493,2.45
1000073529,0.48
1000073634,1.26
1000073732,1.03
1000073770,1.09
1000073776,0.5
1000073966,0.76
1000074151,1.51
1000074253,1.9
1000074275,0.54
1000074285,1.04
1000074405,3.39
1000074471,1.65
1000074495,1.11
1000074561,1.66
1000074564,1.27
1000074775,1.03
1000074821,1.12
1000075064,1.65
1000075147,1.61
1000075223,0.84
1000075279,0.94
1000075345,1.51
1000075403,1.15
1000075452,1.1
1000075522,0.3
1000075566,1.05
1000075567,2.81
1000075637,0.73
1000075655,1.31
1000075723,1.15
1000075740,0.53
1000075742,0.75
1000075760,0.55
1000075769,1.49
1000075795,0.55
1000075819,1.2
1000075824,1.82
1000075914,0.8
1000075929,1.03
1000075976,1.19
1000075985,1.26
1000076013,1
1000076035,1.25
1000076075,1.26
1000076127,1.28
1000076185,0.99
1000076200,0.55
1000076262,1.08
1000076293,0.73
1000076324,1.29
1000076335,1.13
1000076342,1.26
1000076383,1.32
1000076387,0.95
1000076398,1.29
1000076431,0.98
1000076432,1.44
1000076488,1.14
1000076505,1.05
1000076522,1.72
1000076579,1.66
1000076612,1.7
1000076645,1.4
1000076663,1.35
1000076677,1
1000076707,1.37
1000076750,1.16
1000076781,1.53
1000076875,1.17
1000076976,1.12
1000077082,1.16
1000077097,2.24
1000077229,0.99
1000077268,1.51
1000077307,0.55
1000077355,0.81
1000077465,1.17
1000077509,1.78
1000077527,1.08
1000077560,2.66
1000077628,2.01
1000077673,0.58
1000077846,2.26
1000077987,1.36
1000078124,0.99
1000078184,1.57
1000078414,1.35
1000078580,1.39
1000078800,1.18
1000079205,1.41
1000079220,0.48
1000079260,0.9
1000079282,0.5
1000079311,1.61
1000079340,3.51
1000079352,0.61
1000079360,0.96
1000079366,1.13
1000079441,1.43
1000079624,0.99
1000080084,1.35
1000080126,1.58
1000080378,1.26
1000080408,1.91
1000080463,0.6
1000080515,1.73
1000080613,1.19
1000080707,0.69
1000080725,1.82
1000080731,1.5
1000080750,1.58
1000080760,1.57
1000080793,1.39
1000080807,2.88
1000080873,2.6
1000080971,1.99
1000080980,0.47
1000081110,1.84
1000081500,1.33
1000081538,1.44
1000081676,0.78
