_id,overall_stats.avg_battle_values.avg_spot_dmg
1000091402,17424
1000091495,20864
1000091740,23389
1000091793,12060
1000091797,14136
1000091827,16024
1000091844,18921
1000091982,27013
1000092114,19915
1000092593,36489
1000092695,20166
1000092730,26645
1000092835,19235
1000092855,22056
1000092917,19751
1000092925,16950
1000092931,10376
1000092939,25547
1000092945,20364
1000093019,19024
1000093027,15553
1000093048,20366
1000093068,26435
1000093135,188463
1000093167,17724
1000093190,24637
1000093218,18274
1000093256,11896
1000093262,20211
1000093475,28082
1000093515,16800
1000093595,6471
1000093835,8918
1000093951,20959
1000094070,22147
1000094117,15223
1000094202,22272
1000094315,13056
1000094336,18062
1000094349,18618
1000094351,22431
1000094372,23058
1000094424,5809
1000094438,18990
1000094527,13758
1000094877,18783
1000095014,14727
1000095286,19772
1000095437,12414
1000095454,16590
1000095527,17620
1000095660,15719
1000095823,23316
1000095852,12586
1000095872,16292
1000095923,11641
1000095926,15986
1000095971,13427
1000096101,22137
1000096124,13391
1000096153,20403
1000096155,17185
1000096163,14641
1000096189,8691
1000096192,12617
1000096199,13729
1000096212,19363
1000096232,7356
1000096303,7320
1000096498,23736
1000096546,17391
1000096719,16698
1000097101,13575
1000097315,19565
1000097380,17583
1000097382,15781
1000097524,7434
1000097777,11383
1000097858,20807
1000097929,15627
1000098061,18139
1000098068,14174
1000098085,18773
1000098152,10699
1000098209,11658
1000098294,21510
1000098362,0
1000098421,23049
1000098469,20756
1000098470,17873
1000098533,14266
1000098702,22001
1000098771,15081
1000098796,17127
1000098840,13956
1000098927,15690
1000099309,21496
1000099356,11335
1000099502,15442
1000099540,32900
1000099640,20835
1000099681,13894
1000099760,8981
1000099831,14539
1000099856,16968
1000099864,23304
1000100001,23753
1000100024,17571
1000100095,14597
1000100149,9791
1000100184,9668
1000100186,21578
1000100187,12277
1000100245,9261
1000100252,19222
1000100281,16777
1000100336,12936
1000100346,17873
1000100347,13146
1000100351,22310
1000100405,17776
1000100477,33170
1000100485,14547
1000100493,12659
1000100526,15165
1000100550,14549
1000100570,9876
1000100596,17364
1000100619,12052
1000100664,20869
1000100741,15949
1000100784,13293
1000100790,20390
1000100808,15153
1000100826,10088
1000100850,11735
1000100868,16211
1000100871,11192
1000100893,13952
1000100931,16566
1000101006,13707
1000101053,33140
1000101172,22225
1000101276,14699
1000101578,20342
1000101588,11140
1000101839,17857
1000102034,46570
1000102063,15883
1000102073,27311
1000102148,11590
1000102244,20160
1000102301,21699
1000102562,8540
1000102622,19527
1000102664,21288
1000102670,17423
1000102977,9413
1000103040,14341
1000103055,14540
1000103111,13444
1000103266,31060
1000103523,20937
1000103648,20148
1000103664,23480
1000103763,21491
1000103915,22312
1000103934,18772
1000104066,23068
1000104071,16093
1000104228,22141
1000104267,25294
1000104284,21192
1000104304,12714
1000104385,10516
1000104391,13936
1000104400,17860
1000104479,20072
1000104517,14382
1000104551,16923
1000104874,17852
1000104888,13510
1000104901,12593
1000104949,16076
1000105051,18315
1000105054,15660
1000105144,16460
1000105301,19919
1000105420,24250
1000105519,16583
1000105595,19960
1000105597,7654
1000105635,11604
1000105652,0
1000105672,24187
1000105690,23723
1000105704,14141
1000106031,18810
1000106045,24671
1000106305,24773
1000106337,18036
1000106562,29569
1000106575,15610
1000106651,21477
1000106666,20523
1000106677,15652
1000106702,25832
1000106813,26366
1000106900,31877
1000107677,24378
1000107694,14113
1000107695,17943
1000107769,21763
1000108159,11989
1000108489,17727
1000108519,23355
1000108541,14936
1000108563,16045
1000108592,20298
1000108635,19903
1000108757,25403
1000108841,16134
1000108862,18497
1000108866,18871
1000108952,69416
1000108988,10402
1000109124,13332
1000109217,13198
1000109248,19488
1000109361,20410
1000109451,16266
1000109606,22496
1000110166,11043
1000110229,15747
1000110292,13076
1000110392,12925
1000110496,15518
1000110507,22293
1000110642,11250
1000110731,17806
1000110768,18743
1000110939,13322
1000111043,11565
1000111160,17810
1000111460,11178
1000111464,19469
1000111575,16254
1000111591,20920
1000111611,25135
1000111718,31306
1000112170,21284
1000112438,16547
1000112450,18170
1000112477,19871
1000112620,20331
1000113028,23816
1000113064,20437
1000113111,10091
1000113510,9998
1000113552,20685
1000113563,9169
1000113566,26961
1000113614,14890
1000113617,17903
1000113946,19373
1000113974,115989
1000114066,15872
1000114165,12537
1000114250,8298
1000114566,15632
1000114575,24532
1000114733,18915
1000114917,13427
1000115183,0
1000115477,12278
1000115560,21114
1000115573,17758
1000115699,21825
1000115768,9406
1000115837,18039
1000115861,18131
1000115896,16312
1000115902,25151
1000116057,16959
1000116503,11754
1000116560,13080
1000116599,20802
1000116619,14566
1000116674,14657
1000116675,16384
1000116713,12552
1000116835,17429
1000116993,18805
1000117192,13793
1000117200,12489
1000117287,23710
1000117297,16726
1000117360,25326
1000117636,18635
1000117942,11335
1000118051,9099
1000118098,14691
1000118175,18674
1000118193,36194
1000118198,22574
1000118322,11198
1000118417,8787
1000118433,10102
1000118447,24508
1000118558,14993
1000118682,13062
1000118742,9108
1000119042,17230
1000119069,9534
1000119085,14254
1000119103,12620
1000119105,26321
1000119131,22958
1000119160,20005
1000119204,18628
1000119221,949
1000119248,14083
1000119269,9769
1000119276,17606
1000119288,9703
1000119297,15981
1000119300,12398
1000119315,6962
1000119319,13862
1000119335,17065
1000119381,10273
1000119413,19262
1000119480,13472
1000119541,10556
1000119578,21706
1000119580,14830
1000119686,18607
