_id,overall_stats.avg_battle_values.avg_shoot_down
1000040640,2.75
1000040728,1.4
1000040780,1.42
1000040807,0.95
1000040850,0.61
1000040901,0.17
1000040947,1.53
1000041051,0.83
1000041056,0.44
1000041180,1.36
1000041190,0.47
1000041214,1.08
1000041278,1.28
1000041283,1.92
1000041302,1.5
1000041319,0.92
1000041337,2.64
1000041357,0.77
1000041526,1.01
1000041576,0.87
1000041766,1.94
1000041849,2.79
1000042087,1.52
1000042130,0.92
1000042229,0.78
1000042508,5.77
1000042543,1.75
1000042556,1.24
1000042642,2.7
1000042658,0.38
1000042675,1.4
1000042721,1.45
1000042751,1.83
1000042763,1.7
1000042798,1.58
1000042808,1.01
1000042815,1.26
1000042823,2.31
1000042888,3.02
1000042987,1.26
1000043307,0.65
1000043648,2.7
1000043706,1.82
1000043760,0.56
1000043843,2.25
1000043900,2.42
1000043938,2.46
1000043943,1.77
1000043956,0.83
1000043986,0.74
1000044173,2.54
1000044385,0.26
1000044433,2.44
1000044532,1.45
1000044566,3.26
1000044633,0.83
1000044638,2.24
1000044785,0.7
1000044933,1.16
1000044975,1.96
1000044977,1.21
1000044979,2.63
1000044984,0.9
1000045048,2.72
1000045592,1.71
1000045754,1.19
1000045760,1.58
1000045940,1.09
1000045958,1.35
1000045970,1.25
1000045978,1.5
1000045983,1.47
1000045994,2.05
1000046013,2.18
1000046036,0.65
1000046210,5.27
1000046213,1.28
1000046304,1.76
1000046432,0.8
1000046587,1.05
1000046606,2.38
1000046625,1.49
1000046818,1.91
1000046852,3.01
1000047007,2.36
1000047037,1.46
1000047150,2.38
1000047163,1.26
1000047210,2.89
1000047246,1.71
1000047289,0.59
1000047301,1.67
1000047359,1.52
1000047366,2.88
1000047407,0.89
1000048222,3.56
1000048377,0.7
1000049135,1.95
1000049230,1.83
1000049334,1.54
1000049385,2.04
1000049386,2.55
1000049414,0.86
1000049456,1.75
1000049542,0.64
1000049545,3.21
1000049548,1.77
1000050008,1.59
1000050158,1.67
1000050468,1.39
1000050549,2.05
1000050605,1.23
1000050820,1.6
1000050909,1.34
1000050916,0.83
1000050923,0.86
1000050942,1.93
1000050992,0.99
1000051005,3.23
1000051059,2.04
1000051082,1.53
1000051095,1.51
1000051488,0.88
1000051495,0.02
1000051618,0.91
1000051720,1.52
1000051728,2.93
1000051757,2.15
1000051809,1.51
1000052236,1.34
1000052240,0.55
1000052311,2.93
1000052426,2.27
1000052456,0.27
1000052463,1.02
1000052481,1.46
1000052502,3.14
1000052683,1.72
1000052959,1.01
1000053447,1.78
1000053463,2.62
1000053468,1.05
1000053478,1.07
1000053557,1.9
1000053561,1.94
1000053598,1.5
1000053618,1.55
1000053620,2
1000053640,2.85
1000053651,0.85
1000053672,0.75
1000053678,1.52
1000053682,0.72
1000053823,1.59
1000054106,1.57
1000054405,2.87
1000054446,1.3
1000054466,1.47
1000054510,2.27
1000054532,1.84
1000054593,0.82
1000054701,0.63
1000054710,0.72
1000054713,2.06
1000054723,1.48
1000054728,1.55
1000054737,0.95
1000054751,0.52
1000054755,1.97
1000054812,1.69
1000054842,0.7
1000054848,1.58
1000055112,2.31
1000055175,1.12
1000055333,2.2
1000055403,1.72
1000055577,2.04
1000055594,1.47
1000055654,1.16
1000055656,0.72
1000055699,1.51
1000055842,3.91
1000055896,1.83
1000055898,1.54
1000055928,2.37
1000055933,2.26
1000055944,1.8
1000055947,0.92
1000056044,2.26
1000056101,3.46
1000056200,8.09
1000056437,1.67
1000056493,1.32
1000056577,3.71
1000056693,2.35
1000056710,1.17
1000056778,2.76
1000056862,0.69
1000057139,2.61
1000057183,4.59
1000057185,1.43
1000057199,1.28
1000057435,1.1
1000057502,1.14
1000057594,0.5
1000057938,1.5
1000058036,1.93
1000058120,1.17
1000058163,6.3
1000058175,3.14
1000058341,0.39
1000058420,2.01
1000058477,2
1000058916,6.04
1000059232,4.02
1000059480,1.55
1000059669,3.58
1000059693,4.11
1000059710,1.83
1000059783,2.45
1000059798,2.38
1000059883,1.99
1000059892,1.57
1000059904,0.35
1000059958,1.37
1000059978,1.19
1000059987,2.36
1000060262,2.22
1000060314,1.9
1000060382,1.82
1000060426,1.59
1000060441,1.51
1000060449,1.48
1000060464,1
1000060539,1.61
1000060572,1.93
1000060592,1.14
1000060606,2.19
1000060676,2.42
1000060915,0.56
1000061119,1.14
1000061142,1.2
1000061159,1.95
1000061168,1.88
1000061347,1.11
1000061355,1.4
1000061432,1.4
1000061441,2.17
1000061474,1.4
1000061485,0.63
1000061497,1.3
1000061499,2.31
1000061505,0.54
1000061538,2.67
1000061941,1.45
1000061997,1.76
1000062074,1.95
1000062198,0.97
1000062200,1.88
1000062334,0.91
1000062410,1.17
1000062513,1.59
1000062548,1.84
