_id,overall_stats.avg_battle_values.avg_dmg
1000059798,44439
1000059883,58777
1000059892,63020
1000059904,34539
1000059958,46888
1000059978,36884
1000059987,49749
1000060262,48068
1000060314,59797
1000060382,51597
1000060426,17796
1000060441,37508
1000060449,46527
1000060464,21917
1000060539,52025
1000060572,61839
1000060592,56060
1000060606,53769
1000060676,42116
1000060915,26429
1000061119,27418
1000061142,55974
1000061159,34475
1000061168,24547
1000061347,45380
1000061355,43630
1000061432,22427
1000061441,41928
1000061474,21073
1000061485,37061
1000061497,30219
1000061499,33387
1000061505,35815
1000061538,71570
1000061941,36069
1000061997,40069
1000062074,59702
1000062198,22313
1000062200,45977
1000062334,46033
1000062410,46685
1000062513,48996
1000062548,28659
1000062558,42778
1000062630,40983
1000063078,37670
1000063154,56856
1000063251,22334
1000063389,41631
1000063451,17235
1000063467,46068
1000063488,22150
1000063637,27406
1000063653,34437
1000063882,37775
1000064032,33452
1000064061,41518
1000064132,59095
1000064383,47163
1000064443,72953
1000064446,37268
1000064482,46836
1000064522,30373
1000064540,31786
1000064555,29001
1000064563,35727
1000064591,32311
1000064638,48977
1000064655,44675
1000064726,30197
1000065234,33997
1000065551,25179
1000065640,56661
1000065733,30685
1000065782,29534
1000065830,31230
1000065834,22464
1000065940,25561
1000066130,47274
1000066285,33755
1000066337,43139
1000066422,51944
1000066699,43102
1000066702,16730
1000066777,40531
1000066800,32277
1000066828,41081
1000066829,26723
1000066850,28543
1000066863,33625
1000067188,22934
1000067287,51467
1000067377,34534
1000067478,27252
1000067508,15678
1000067568,43280
1000067601,35696
1000067611,43026
1000067620,51084
1000067782,27183
1000067830,31150
1000067860,42717
1000067969,34389
1000068014,31744
1000068183,53848
1000068225,47902
1000068247,64172
1000068290,64333
1000068464,47035
1000068633,31132
1000068699,33601
1000068702,12405
1000068761,38268
1000068785,51930
1000068788,36679
1000068792,41877
1000068929,40120
1000069053,33331
1000069067,33133
1000069312,38684
1000069401,16376
1000069450,34401
1000069517,36788
1000069553,23843
1000069856,44171
1000069965,35888
1000069971,48893
1000070001,51065
1000070017,34757
1000070022,50049
1000070046,31204
1000070083,26487
1000070236,44062
1000070670,48805
1000070699,41521
1000070749,32772
1000070792,34132
1000070899,35272
1000071005,37463
1000071019,32490
1000071189,33784
1000071311,35582
1000071316,42727
1000071354,40012
1000071395,54098
1000071410,32780
1000071610,28314
1000071629,26207
1000071738,64761
1000071747,29058
1000071750,27279
1000071768,75860
1000071772,62407
1000072000,35132
1000072030,51593
1000072266,63656
1000072462,44401
1000072469,61941
1000072490,42220
1000072818,34438
1000072884,53570
1000072983,23598
1000073153,50106
1000073157,21079
1000073352,18466
1000073480,50314
1000073493,65027
1000073529,26146
1000073634,31963
1000073732,27613
1000073770,47401
1000073776,19178
1000073966,28394
1000074151,43946
1000074253,36452
1000074275,35980
1000074285,28225
1000074405,64803
1000074471,53544
1000074495,36099
1000074561,48236
1000074564,47175
1000074775,29101
1000074821,22190
1000075064,64178
1000075147,48656
1000075223,22834
1000075279,46224
1000075345,53562
1000075403,34013
1000075452,29899
1000075522,12364
1000075566,36552
1000075567,46563
1000075637,21813
1000075655,35666
1000075723,28051
1000075740,21331
1000075742,31166
1000075760,28664
1000075769,34830
1000075795,19468
1000075819,50234
1000075824,52606
1000075914,32166
1000075929,31238
1000075976,54911
1000075985,45566
1000076013,34384
1000076035,44100
1000076075,30707
1000076127,41968
1000076185,32664
1000076200,24065
1000076262,32803
1000076293,27566
1000076324,31762
1000076335,35791
