_id,overall_stats.battles
1030295762,3543
1030295824,770
1030296280,4548
1030296859,905
1030296874,6813
1030296880,717
1030297287,1412
1030297914,1276
1030298540,279
1030298988,442
1030299056,2224
1030299244,155
1030299391,195
1030299430,1273
1030299567,4784
1030299584,2119
1030299758,3543
1030300009,3643
1030300032,888
1030300278,3756
1030300501,3887
1030300522,2747
1030300645,176
1030301023,7076
1030301248,116
1030301505,103
1030301514,2226
1030301528,2375
1030301614,769
1030301717,819
1030302277,399
1030302393,904
1030302680,272
1030302786,1475
1030302983,304
1030303082,3144
1030303214,845
1030303426,154
1030303484,577
1030303568,2087
1030303701,638
1030304809,583
1030304974,1818
1030305055,1661
1030305480,3055
1030305863,1536
1030306015,2027
1030306042,287
1030306485,1418
1030307082,165
1030307251,341
1030307511,352
1030307836,1120
1030307838,279
1030308167,4938
1030308220,708
1030308273,880
1030308557,122
1030308762,641
1030309240,115
1030309730,2990
1030310125,692
1030310128,3840
1030310249,4881
1030310645,151
1030310742,4057
1030311020,858
1030311338,259
1030311358,3331
1030311780,9712
1030311813,180
1030311914,1815
1030312176,254
1030312412,691
1030312938,529
1030313262,2677
1030313290,266
1030314020,914
1030314663,1271
1030314697,2370
1030314816,532
1030314885,7395
1030315592,427
1030316025,1302
1030316063,333
1030316234,825
1030316563,740
1030316687,998
1030316814,674
1030317064,1982
1030317138,4437
1030317285,800
1030317403,5174
1030318121,467
1030318552,594
1030319105,1803
1030319563,310
1030320268,118
1030320317,203
1030320386,2211
1030320567,831
1030320605,2982
1030320743,2054
1030321088,96
1030321161,2793
1030321325,9623
1030321576,3315
1030321647,1371
1030321666,2636
1030322204,811
1030322244,1071
1030322372,498
1030322559,411
1030322892,1913
1030323093,715
1030323465,1317
1030323554,258
1030323701,1131
1030323798,947
1030323842,3338
1030324078,3619
1030324226,459
1030324574,1159
1030324937,969
1030325012,1347
1030325082,285
1030325211,8106
1030325648,157
1030325653,3367
1030325954,229
1030326250,2296
1030326257,6499
1030326345,1351
1030326431,4568
1030326534,256
1030327355,3547
1030327776,8632
1030327794,1919
1030328063,537
1030328112,3293
1030328114,1822
1030328147,1032
1030328165,521
1030328374,667
1030328516,580
1030328673,2157
1030328679,110
1030328727,1069
1030328735,809
1030328824,230
1030329795,1962
1030329824,763
1030330015,545
1030330141,555
1030330156,1468
1030330325,247
1030330485,249
1030330656,361
1030331293,1607
1030331319,2542
1030331342,1770
1030331365,1519
1030331781,1013
1030331849,185
1030332253,1204
1030332366,908
1030332523,961
1030332572,431
1030332576,2045
1030332655,4150
1030332688,1108
1030333022,4986
1030333287,1948
1030333534,3971
1030334035,960
1030334232,354
1030334410,3012
