_id,overall_stats.avg_battle_values.avg_frags
1000039956,0.92
1000039961,1.01
1000039990,0.44
1000040004,0.54
1000040020,0.72
1000040053,1
1000040065,0.34
1000040111,0.91
1000040113,0.81
1000040319,0.85
1000040339,0.42
1000040437,0.65
1000040519,0.42
1000040572,0.77
1000040604,0.97
1000040630,0.67
1000040638,0.74
1000040640,0.89
1000040728,0.95
1000040780,0.72
1000040807,0.52
1000040850,0.76
1000040901,0.85
1000040947,0.87
1000041051,1.18
1000041056,0.65
1000041180,0.64
1000041190,0.66
1000041214,0.64
1000041278,0.78
1000041283,1.16
1000041302,0.54
1000041319,0.75
1000041337,1.03
1000041357,0.52
1000041526,0.6
1000041576,1.05
1000041766,0.89
1000041849,0.93
1000042087,0.75
1000042130,1.27
1000042229,0.65
1000042508,0.8
1000042543,0.55
1000042556,0.7
1000042642,1.08
1000042658,0.7
1000042675,0.69
1000042721,0.78
1000042751,1.07
1000042763,0.74
1000042798,1.09
1000042808,0.54
1000042815,0.64
1000042823,0.83
1000042888,0.56
1000042987,0.81
1000043307,0.72
1000043648,1
1000043706,0.91
1000043760,0.47
1000043843,0.66
1000043900,1.07
1000043938,0.56
1000043943,0.91
1000043956,0.38
1000043986,0.48
1000044173,1.04
1000044385,0.82
1000044433,0.9
1000044532,0.6
1000044566,0.58
1000044633,0.86
1000044638,0.85
1000044785,0.35
1000044933,0.98
1000044975,0.55
1000044977,0.71
1000044979,1.15
1000044984,0.86
1000045048,0.66
1000045592,0.64
1000045754,0.86
1000045760,0.98
1000045940,0.58
1000045958,0.66
1000045970,0.93
1000045978,0.53
1000045983,1.12
1000045994,0.68
1000046013,0.51
1000046036,0.38
1000046210,0.98
1000046213,0.88
1000046304,0.42
1000046432,0.44
1000046587,0.5
1000046606,0.96
1000046625,0.51
1000046818,1.07
1000046852,1
1000047007,0.59
1000047037,0.73
1000047150,0.51
1000047163,0.74
1000047210,1.05
1000047246,0.56
1000047289,0.45
1000047301,1
1000047359,0.88
1000047366,0.82
1000047407,0.78
1000048222,0.86
1000048377,0.76
1000049135,0.7
1000049230,0.98
1000049334,0.72
1000049385,1.23
1000049386,0.59
1000049414,0.44
1000049456,0.7
1000049542,0.35
1000049545,0.91
1000049548,1.14
1000050008,0.75
1000050158,0.97
1000050468,0.71
1000050549,0.69
1000050605,0.67
1000050820,0.46
1000050909,0.59
1000050916,0.81
1000050923,1.3
1000050942,0.62
1000050992,0.85
1000051005,0.43
1000051059,1.12
1000051082,0.76
1000051095,0.7
1000051488,0.91
1000051495,0.51
1000051618,0.95
1000051720,0.8
1000051728,0.82
1000051757,1
1000051809,1.05
1000052236,0.71
1000052240,1
1000052311,1.08
1000052426,0.58
1000052456,0.78
1000052463,1.16
1000052481,0.73
1000052502,0.96
1000052683,0.99
1000052959,0.22
1000053447,0.69
1000053463,0.57
1000053468,0.63
1000053478,0.96
1000053557,1.21
1000053561,1.14
1000053598,0.96
1000053618,0.86
1000053620,0.99
1000053640,0.61
1000053651,0.68
1000053672,0.9
1000053678,0.64
1000053682,0.6
1000053823,0.6
1000054106,0.84
1000054405,0.68
1000054446,0.7
1000054466,1.01
1000054510,0.83
1000054532,1.24
1000054593,1.06
1000054701,0.99
1000054710,0.5
1000054713,1.02
1000054723,0.77
1000054728,0.96
1000054737,0.58
1000054751,0.86
1000054755,1.18
1000054812,0.98
1000054842,0.8
1000054848,1.01
1000055112,1.01
1000055175,0.91
1000055333,0.58
1000055403,0.66
1000055577,0.75
1000055594,0.85
1000055654,0.78
1000055656,0.87
1000055699,0.78
1000055842,1.08
1000055896,0.67
1000055898,0.86
1000055928,0.52
1000055933,0.71
1000055944,1.29
1000055947,0.68
1000056044,0.56
1000056101,0.71
1000056200,1.16
1000056437,1.04
1000056493,0.76
1000056577,0.65
1000056693,0.79
1000056710,0.89
1000056778,0.98
1000056862,0.67
1000057139,1
1000057183,0.99
1000057185,0.86
1000057199,0.81
1000057435,1.26
1000057502,0.31
1000057594,0.62
1000057938,0.98
1000058036,0.73
1000058120,0.7
1000058163,1.22
1000058175,0.63
1000058341,0.52
1000058420,0.74
1000058477,0.59
1000058916,0.43
1000059232,0.89
1000059480,0.75
1000059669,1.08
1000059693,1.03
1000059710,0.94
1000059783,1.17
1000059798,0.99
1000059883,1.11
1000059892,1.02
1000059904,1.13
1000059958,0.63
1000059978,0.76
1000059987,1.03
1000060262,1.01
1000060314,1.18
1000060382,1.14
1000060426,0.56
1000060441,0.69
1000060449,0.91
1000060464,0.53
1000060539,0.86
1000060572,0.67
1000060592,0.99
1000060606,0.99
1000060676,0.99
1000060915,0.66
1000061119,0.67
1000061142,0.92
1000061159,0.77
1000061168,0.59
1000061347,1.2
1000061355,0.83
1000061432,0.58
1000061441,0.72
1000061474,0.49
1000061485,0.84
1000061497,0.61
1000061499,0.6
1000061505,0.66
1000061538,1.4
1000061941,0.64
1000061997,0.71
1000062074,0.97
1000062198,0.62
1000062200,1
1000062334,0.94
1000062410,0.9
1000062513,0.78
1000062548,0.62
1000062558,0.81
1000062630,1.19
1000063078,0.8
1000063154,1.14
1000063251,0.41
1000063389,0.84
1000063451,0.5
1000063467,1.09
1000063488,0.48
1000063637,0.68
1000063653,1.01
1000063882,0.68
1000064032,0.61
1000064061,0.73
1000064132,1.02
1000064383,1.1
1000064443,1.3
1000064446,1.05
1000064482,0.79
1000064522,0.87
1000064540,0.88
1000064555,0.72
1000064563,0.92
1000064591,0.84
1000064638,0.99
1000064655,0.86
1000064726,0.58
1000065234,0.65
1000065551,0.72
1000065640,1.22
1000065733,0.53
1000065782,0.66
1000065830,0.77
1000065834,0.83
1000065940,0.46
1000066130,0.92
1000066285,0.91
1000066337,0.98
1000066422,1.11
1000066699,0.78
1000066702,0.37
1000066777,0.74
1000066800,0.78
1000066828,0.79
1000066829,0.69
1000066850,0.61
1000066863,0.61
1000067188,0.6
1000067287,0.66
1000067377,0.92
1000067478,0.52
1000067508,0.43
1000067568,1.35
1000067601,0.99
1000067611,0.84
1000067620,0.96
1000067782,0.58
1000067830,0.58
1000067860,1
1000067969,0.76
1000068014,0.69
1000068183,0.92
1000068225,0.83
1000068247,1.09
1000068290,1.21
1000068464,1.24
1000068633,0.9
1000068699,0.84
1000068702,0.09
1000068761,0.96
1000068785,0.87
1000068788,0.85
1000068792,0.71
1000068929,0.82
1000069053,0.99
1000069067,0.66
1000069312,0.63
1000069401,0.6
1000069450,0.76
1000069517,0.77
1000069553,0.7
1000069856,0.89
1000069965,0.7
1000069971,0.77
1000070001,0.89
1000070017,0.6
1000070022,0.83
1000070046,0.72
1000070083,0.51
1000070236,0.68
1000070670,0.96
1000070699,0.78
1000070749,0.68
1000070792,0.56
1000070899,0.75
1000071005,0.73
1000071019,0.87
1000071189,0.77
1000071311,0.75
1000071316,1.19
1000071354,0.87
1000071395,0.98
1000071410,0.71
1000071610,0.79
1000071629,0.61
1000071738,1.07
1000071747,0.68
1000071750,0.65
1000071768,1.22
1000071772,1.27
1000072000,0.68
1000072030,1.16
1000072266,0.71
1000072462,0.94
1000072469,1.13
1000072490,0.82
1000072818,0.57
1000072884,1.13
1000072983,0.58
1000073153,0.9
1000073157,0.63
1000073352,0.52
1000073480,0.93
1000073493,1.18
1000073529,0.42
1000073634,0.73
1000073732,0.69
1000073770,0.76
1000073776,0.4
1000073966,0.64
1000074151,0.85
1000074253,0.98
1000074275,0.49
1000074285,0.66
1000074405,1.3
1000074471,0.96
1000074495,0.77
1000074561,0.95
1000074564,0.82
1000074775,0.66
1000074821,0.79
1000075064,0.96
1000075147,1.13
1000075223,0.6
1000075279,0.71
1000075345,0.98
1000075403,0.7
1000075452,0.7
1000075522,0.29
1000075566,0.77
1000075567,1.37
1000075637,0.56
