_id,overall_stats.avg_battle_values.avg_exp
1000072983,955
1000073153,1630
1000073157,707
1000073352,688
1000073480,1610
1000073493,1244
1000073529,1055
1000073634,1004
1000073732,965
1000073770,1239
1000073776,624
1000073966,1009
1000074151,1052
1000074253,939
1000074275,1014
1000074285,754
1000074405,1465
1000074471,1410
1000074495,1097
1000074561,1281
1000074564,1155
1000074775,905
1000074821,569
1000075064,1665
1000075147,1128
1000075223,812
1000075279,1393
1000075345,1392
1000075403,1241
1000075452,886
1000075522,773
1000075566,1213
1000075567,1597
1000075637,953
1000075655,1111
1000075723,917
1000075740,788
1000075742,946
1000075760,1060
1000075769,795
1000075795,667
1000075819,1340
1000075824,1413
1000075914,973
1000075929,1223
1000075976,1275
1000075985,1367
1000076013,1182
1000076035,1253
1000076075,870
1000076127,1338
1000076185,1016
1000076200,845
1000076262,1124
1000076293,1059
1000076324,854
1000076335,998
1000076342,1330
1000076383,1359
1000076387,976
1000076398,1245
1000076431,957
1000076432,1143
1000076488,616
1000076505,985
1000076522,1461
1000076579,1553
1000076612,961
1000076645,1174
1000076663,1056
1000076677,974
1000076707,871
1000076750,1096
1000076781,772
1000076875,1451
1000076976,1151
1000077082,1292
1000077097,1760
1000077229,783
1000077268,1208
1000077307,1059
1000077355,876
1000077465,698
1000077509,1125
1000077527,702
1000077560,1635
1000077628,1686
1000077673,606
1000077846,1212
1000077987,1009
1000078124,960
1000078184,1209
1000078414,1016
1000078580,1262
1000078800,1358
1000079205,983
1000079220,491
1000079260,1386
1000079282,978
1000079311,1154
1000079340,1320
1000079352,1208
1000079360,1159
1000079366,1094
1000079441,984
1000079624,599
1000080084,1284
1000080126,1436
1000080378,1479
1000080408,1057
1000080463,747
1000080515,1296
1000080613,1207
1000080707,1072
1000080725,960
1000080731,1493
1000080750,964
1000080760,1455
1000080793,1030
1000080807,1788
1000080873,1881
1000080971,1665
1000080980,886
1000081110,1508
1000081500,1060
1000081538,1269
1000081676,1073
1000081727,1319
1000081774,655
1000081778,1562
1000081830,987
1000081845,1525
1000081927,1277
1000081931,1083
1000081966,1369
1000081998,951
1000082020,1796
1000082189,1189
1000082306,787
1000082558,896
1000082863,1117
1000082926,608
1000082970,1456
1000083025,1163
1000083097,1407
1000083296,1991
1000083634,1644
1000083731,1405
1000083742,1755
1000083751,925
1000083773,1162
1000083892,735
1000084183,1383
1000084188,1434
1000084422,1118
1000084747,566
1000084854,1223
1000084858,880
1000084887,1062
1000084893,932
1000085012,885
1000085023,912
1000085114,1236
1000085154,761
1000085177,1184
1000085239,1103
1000085252,1792
1000085268,1322
1000085391,1143
1000085857,1013
1000085880,820
1000085884,1436
1000085947,1461
1000086048,1295
1000086139,1222
1000086244,902
